Date,Open,High,Low,Close,Volume,OpenInt
40380 ,24.333,24.333,23.946,23.946,43321,0
40381 ,24.644,24.644,24.362,24.487,18031,0
40382 ,24.759,24.759,24.314,24.507,8897,0
40385 ,24.624,24.624,24.449,24.595,19443,0
40386 ,24.477,24.517,24.431,24.517,8456,0
40387 ,24.477,24.517,24.352,24.431,4967,0
40388 ,24.527,24.527,24.256,24.256,1238,0
40389 ,24.228,24.333,24.228,24.333,618,0
40392 ,24.916,24.926,24.664,24.839,7161,0
40393 ,24.966,25.069,24.966,25.042,11516,0
40394 ,25.069,25.069,25.069,25.069,513,0
40395 ,25.118,25.118,25.118,25.118,513,0
40396 ,24.537,24.926,24.537,24.926,720,0
40399 ,25.207,25.429,25.207,25.265,5620,0
40400 ,25.285,25.285,25.285,25.285,513,0
40401 ,24.401,24.401,24.401,24.401,101,0
40402 ,24.276,24.276,24.276,24.276,1032,0
40403 ,24.401,24.401,24.401,24.401,101,0
40406 ,24.507,24.507,24.467,24.467,3094,0
40407 ,24.789,24.966,24.789,24.966,6704,0
40408 ,25.013,25.109,25.013,25.109,587,0
40409 ,24.966,24.966,24.966,24.966,513,0
40410 ,24.537,24.537,24.517,24.527,1238,0
40413 ,24.557,24.557,24.557,24.557,206,0
40414 ,24.14,24.198,24.14,24.198,3920,0
40415 ,24.091,24.111,24.091,24.111,720,0
40416 ,24.352,24.381,24.238,24.238,7736,0
40417 ,24.333,24.487,24.188,24.487,10547,0
40420 ,24.517,24.517,24.517,24.517,309,0
40421 ,24.527,24.567,24.507,24.567,1057,0
40422 ,24.888,25.158,24.888,25.158,1545,0
40423 ,25.236,25.236,25.236,25.236,101,0
40424 ,25.507,25.507,25.429,25.429,4359,0
40428 ,25.429,25.429,25.429,25.429,101,0
40429 ,25.556,25.651,25.497,25.497,4127,0
40430 ,25.708,25.708,25.708,25.708,824,0
40431 ,25.806,25.806,25.708,25.747,1960,0
40434 ,26.039,26.244,26.039,26.244,216,0
